satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary
0.11,0.91,7,287,4,0,1,0,sales,low
0.99,0.39,6,214,5,1,0,0,sales,low
0.39,0.53,2,136,3,0,1,0,hr,low
0.48,0.89,5,179,3,0,0,0,management,medium
0.93,0.5,5,272,3,0,0,0,sales,low
0.43,0.49,2,135,3,0,1,0,sales,medium
0.63,0.52,5,209,8,1,0,0,RandD,low
0.74,0.67,5,216,3,0,0,0,sales,low
0.09,0.79,6,293,5,0,1,0,sales,low
0.97,0.92,6,137,8,1,0,0,product_mng,low
0.76,0.98,4,237,5,0,1,0,sales,low
0.83,0.85,4,255,5,0,1,0,management,low
0.54,0.64,2,219,3,0,0,0,technical,low
0.44,0.54,2,135,3,0,1,0,support,low
0.32,0.73,6,194,5,0,0,0,product_mng,low
0.89,0.97,4,264,5,0,1,0,marketing,low
0.1,0.9,6,272,5,0,1,0,RandD,low
0.58,0.79,3,243,3,1,0,0,sales,medium
1,0.87,4,129,5,0,0,0,support,medium
0.94,0.78,3,184,3,1,0,0,technical,medium
0.84,0.88,4,263,5,1,1,0,marketing,low
0.1,0.9,6,299,4,0,1,0,marketing,low
0.77,0.9,4,104,5,0,0,0,product_mng,low
0.16,0.65,4,277,5,0,1,0,accounting,medium
0.45,0.5,2,150,3,0,1,0,support,low
0.1,0.89,7,253,4,0,1,0,support,low
0.4,0.51,2,145,3,0,1,0,hr,low
0.76,0.82,4,170,6,0,0,0,sales,medium
0.73,0.9,3,274,2,0,0,0,support,high
0.39,0.54,2,127,3,0,1,0,IT,low
0.49,0.54,4,215,4,0,0,0,IT,medium
0.53,0.64,3,143,2,0,0,0,sales,low
0.11,0.8,6,304,4,0,1,0,accounting,low
0.43,0.53,2,150,3,0,1,0,sales,low
0.76,0.88,4,206,4,0,1,0,hr,medium
0.1,0.97,6,267,4,1,1,0,support,low
0.42,0.46,2,143,3,0,1,0,RandD,low
0.84,0.81,4,236,3,1,0,0,IT,low
0.78,1,4,253,5,0,1,0,marketing,low
0.43,0.51,2,130,3,0,1,0,IT,low
0.24,0.62,6,225,6,0,0,0,sales,low
0.67,0.49,5,241,8,0,0,0,sales,medium
0.63,0.95,4,137,3,0,0,0,sales,medium
0.19,0.53,6,191,4,0,0,0,support,low
0.09,0.96,6,281,4,0,1,0,management,medium
0.45,0.49,2,144,3,0,1,0,accounting,low
0.58,0.97,5,202,2,0,0,0,IT,low
0.76,0.81,4,242,2,0,0,0,IT,low
0.72,0.93,4,148,2,0,0,0,sales,low
0.87,0.91,4,255,5,0,1,0,support,medium
0.72,0.84,4,186,3,0,0,0,hr,low
0.1,0.8,7,292,5,0,1,0,IT,low
0.54,0.95,4,256,3,0,0,0,support,low
0.34,0.82,6,197,5,1,0,0,technical,medium
0.82,0.86,5,243,5,0,1,0,IT,low
0.09,0.92,6,303,5,0,1,0,sales,low
0.7,0.97,4,244,3,0,0,0,sales,medium
0.72,0.8,3,222,3,0,0,0,IT,medium
0.1,0.79,6,256,5,0,1,0,support,low
0.09,0.82,6,250,4,0,1,0,support,low
0.9,0.79,4,150,2,0,0,0,IT,low
0.43,0.52,2,142,3,0,1,0,RandD,low
0.38,0.49,2,132,3,0,1,0,support,low
0.83,0.93,4,269,5,0,1,0,sales,low
0.61,0.89,3,242,10,0,0,0,sales,high
0.36,0.56,2,137,3,0,1,0,sales,low
0.62,0.98,4,137,3,0,0,0,technical,medium
0.96,0.67,6,190,3,0,0,0,support,low
0.16,0.9,5,258,3,0,0,0,technical,medium
0.1,0.93,6,253,4,0,1,0,IT,medium
0.5,0.82,2,286,6,0,0,0,sales,medium
0.72,0.98,4,156,3,0,0,0,product_mng,medium
0.1,0.97,6,280,4,0,1,0,sales,low
0.75,0.7,5,269,3,0,0,0,support,medium
0.89,0.77,3,144,3,0,0,0,management,high
0.67,0.56,3,237,4,0,0,0,support,medium
0.89,0.86,5,275,5,0,1,0,sales,low
0.09,0.93,6,279,4,0,1,0,technical,low
0.83,0.76,2,255,7,0,0,0,sales,low
0.1,0.97,7,254,4,0,1,0,sales,low
0.57,0.55,4,177,8,0,0,0,sales,low
0.77,0.68,3,214,8,1,0,0,management,high
0.62,0.79,3,259,3,0,0,0,support,medium
